,city,lat,lng,state
137,Henderson,36.0133,-115.0381,Nevada
138,Savannah,32.0286,-81.1821,Georgia
139,Poughkeepsie,41.695,-73.9211,New York
140,Santa Ana,33.7367,-117.8819,California
141,Ann Arbor,42.2759,-83.731,Michigan
142,St. Paul,44.9478,-93.1039,Minnesota
143,Newark,40.7245,-74.1725,New Jersey
144,Irvine,33.6772,-117.7738,California
145,Oyster Bay,40.7846,-73.514,New York
146,Santa Rosa,38.4458,-122.7067,California
147,Canton,40.8078,-81.3676,Ohio
148,Asheville,35.5707,-82.5537,North Carolina
149,Flint,43.0236,-83.6921,Michigan
150,Winter Haven,28.0118,-81.7014,Florida
151,Anchorage,61.1508,-149.1091,Alaska
152,Lincoln,40.8099,-96.6784,Nebraska
153,Concord,35.3933,-80.6369,North Carolina
154,Jersey City,40.7184,-74.0686,New Jersey
155,Springfield,37.1943,-93.2916,Missouri
156,Plano,33.0502,-96.7486,Texas
157,Shreveport,32.4653,-93.7955,Louisiana
158,Davenport,41.5565,-90.6053,Iowa
159,Lubbock,33.5657,-101.8879,Texas
160,Lakeland,28.0557,-81.9545,Florida
161,South Bend,41.6767,-86.2696,Indiana
162,Chula Vista,32.6281,-117.0144,California
163,Chandler,33.2825,-111.8514,Arizona
164,Rockford,42.2596,-89.064,Illinois
165,Reading,40.34,-75.9267,Pennsylvania
166,Eugene,44.0564,-123.1174,Oregon
167,Wilmington,34.2099,-77.8866,North Carolina
168,Santa Clarita,34.4175,-118.4964,California
169,Gilbert,33.31,-111.7463,Arizona
170,Salem,44.9233,-123.0244,Oregon
171,Killeen,31.0753,-97.7297,Texas
172,Round Lake Beach,42.3791,-88.0811,Illinois
173,Columbus,32.51,-84.8771,Georgia
174,North Las Vegas,36.2883,-115.0888,Nevada
175,Kennewick,46.1978,-119.1732,Washington
176,St. Petersburg,27.7931,-82.6652,Florida
177,Tallahassee,30.4551,-84.2527,Florida
178,Laredo,27.5625,-99.4874,Texas
179,Irving,32.8583,-96.9702,Texas
180,Peoria,40.752,-89.6154,Illinois
181,Montgomery,32.3482,-86.2668,Alabama
182,Chesapeake,36.6778,-76.3023,Virginia
183,Glendale,33.5791,-112.2311,Arizona
184,York,39.9651,-76.7315,Pennsylvania
185,Nashua,42.7491,-71.491,New Hampshire
186,Garland,32.91,-96.6304,Texas
187,Scottsdale,33.6872,-111.8651,Arizona
188,Lafayette,30.2082,-92.0325,Louisiana
189,Norfolk,36.8945,-76.259,Virginia
190,North Hempstead,40.7912,-73.6688,New York
191,Arlington,38.8786,-77.1011,Virginia
192,Appleton,44.278,-88.3892,Wisconsin
193,Rock Hill,34.9415,-81.0241,South Carolina
194,Fremont,37.5265,-121.9843,California
195,Fargo,46.8651,-96.8292,North Dakota
196,Gulfport,30.4274,-89.0704,Mississippi
197,Bremerton,47.5436,-122.7121,Washington
198,Green Bay,44.5148,-87.9895,Wisconsin
199,Enterprise,36.0091,-115.2278,Nevada
200,Hialeah,25.8696,-80.3045,Florida
201,Deltona,28.905,-81.2137,Florida
202,San Bernardino,34.1416,-117.2943,California
203,Gainesville,29.6804,-82.3459,Florida
204,Spring Valley,36.0952,-115.2636,Nevada
205,Tacoma,47.2431,-122.4531,Washington
206,Roanoke,37.2785,-79.9581,Virginia
207,Babylon,40.6925,-73.3586,New York
208,Brownsville,25.9975,-97.458,Texas
209,College Station,30.5852,-96.2959,Texas
210,Olympia,47.0417,-122.8959,Washington
211,Clarksville,36.5692,-87.3413,Tennessee
212,Yonkers,40.9466,-73.8673,New York
213,Moreno Valley,33.9244,-117.2045,California
214,Thousand Oaks,34.1914,-118.8756,California
215,Portland,43.6773,-70.2715,Maine
216,Fontana,34.0968,-117.4599,California
217,Hickory,35.741,-81.3223,North Carolina
218,Amarillo,35.1984,-101.8316,Texas
219,Sioux Falls,43.5396,-96.7311,South Dakota
220,Huntington,40.8521,-73.3823,New York
221,Evansville,37.9881,-87.5341,Indiana
222,Huntington,38.4109,-82.4345,West Virginia
223,Waterbury,41.5582,-73.0361,Connecticut
224,Frisco,33.156,-96.8216,Texas
225,Lorain,41.4409,-82.184,Ohio
226,Kalamazoo,42.2749,-85.5882,Michigan
227,Galveston,29.2484,-94.8913,Texas
228,Spartanburg,34.9442,-81.9251,South Carolina
229,Santa Barbara,34.4285,-119.7202,California
230,Sunrise Manor,36.1783,-115.0487,Nevada
231,Huntington Beach,33.696,-118.0018,California
232,Grand Prairie,32.6871,-97.0208,Texas
233,Overland Park,38.887,-94.687,Kansas
234,McKinney,33.2016,-96.667,Texas
235,Waco,31.5599,-97.1882,Texas
236,Hagerstown,39.6401,-77.7217,Maryland
237,Glendale,34.1819,-118.2468,California
238,Nampa,43.5844,-116.5638,Idaho
239,Peoria,33.7843,-112.2989,Arizona
240,Cedar Rapids,41.9662,-91.6783,Iowa
241,Vancouver,45.6366,-122.5967,Washington
242,Paradise,36.0872,-115.1355,Nevada
243,Ocala,29.178,-82.1511,Florida
244,Erie,42.1167,-80.0733,Pennsylvania
245,Newport News,37.1051,-76.5185,Virginia
246,Frederick,39.4337,-77.4141,Maryland
247,Murfreesboro,35.849,-86.4121,Tennessee
248,Fort Lauderdale,26.1412,-80.1464,Florida
249,Aurora,41.7638,-88.2902,Illinois
250,Tempe,33.3881,-111.9319,Arizona
251,Danbury,41.4015,-73.4709,Connecticut
252,Spring Hill,28.4798,-82.53,Florida
253,Gastonia,35.2494,-81.1854,North Carolina
254,Salinas,36.6883,-121.6317,California
255,Fredericksburg,38.2992,-77.4872,Virginia
256,Ontario,34.0393,-117.6064,California
257,Elk Grove,38.4161,-121.3842,California
258,Gainesville,34.2902,-83.8294,Georgia
259,Cary,35.7819,-78.8195,North Carolina
260,Rancho Cucamonga,34.1247,-117.5667,California
261,Oceanside,33.2247,-117.3083,California
262,Garden Grove,33.7787,-117.9601,California
263,Lancaster,34.6935,-118.1753,California
264,Hemet,33.7341,-116.9969,California
265,Pembroke Pines,26.0128,-80.3382,Florida
266,Panama City,30.1995,-85.6003,Florida
267,Vallejo,38.1125,-122.2342,California
268,Manchester,42.9848,-71.4447,New Hampshire
269,Medford,42.3372,-122.854,Oregon
270,Mauldin,34.7821,-82.3032,South Carolina
271,Santa Cruz,36.9789,-122.0346,California
272,Palmdale,34.5944,-118.1057,California
273,Norwich,41.5495,-72.0882,Connecticut
274,Muskegon,43.2281,-86.2562,Michigan
275,Leesburg,28.7672,-81.8962,Florida
276,High Point,35.991,-79.9937,North Carolina
277,Tuscaloosa,33.2348,-87.5268,Alabama
278,Visalia,36.3276,-119.3269,California
279,Marysville,48.0809,-122.1561,Washington
280,Merced,37.3057,-120.4779,California
281,Hayward,37.6328,-122.0766,California
282,Lafayette,40.3991,-86.8593,Indiana
283,Springfield,39.7709,-89.654,Illinois
284,Corona,33.8616,-117.5649,California
285,Paterson,40.9147,-74.1624,New Jersey
286,Alexandria,38.8185,-77.0861,Virginia
287,Macon,32.8065,-83.6974,Georgia
288,Binghamton,42.1014,-75.9093,New York
289,Lakewood,39.6977,-105.1172,Colorado
290,Kansas City,39.1235,-94.7443,Kansas
291,Odessa,31.8801,-102.3448,Texas
292,Sunnyvale,37.3836,-122.0255,California
293,New Bedford,41.6697,-70.9428,Massachusetts
294,Hollywood,26.0293,-80.1679,Florida
295,South Lyon,42.4614,-83.6526,Michigan
296,Escondido,33.1348,-117.0723,California
297,Lake Charles,30.201,-93.2111,Louisiana
298,Pasadena,29.6575,-95.1498,Texas
299,Bellevue,47.5951,-122.1535,Washington
300,Joliet,41.5188,-88.1499,Illinois
301,Champaign,40.1142,-88.2737,Illinois
302,Pomona,34.0585,-117.7626,California
303,Fairfield,38.2583,-122.0335,California
304,Mesquite,32.7602,-96.5865,Texas
305,Elkhart,41.6916,-85.9627,Indiana
306,Naperville,41.748,-88.1659,Illinois
307,St. George,37.0758,-113.5752,Utah
308,Roseville,38.7703,-121.3196,California
309,Ramapo,41.1404,-74.1072,New York
310,Topeka,39.0346,-95.6955,Kansas
311,Burlington,36.076,-79.4685,North Carolina
312,Warner Robins,32.5961,-83.6527,Georgia
313,Surprise,33.6815,-112.4515,Arizona
314,Torrance,33.8346,-118.3416,California
315,Santa Maria,34.9333,-120.4431,California
316,Athens,33.9508,-83.3689,Georgia
317,Houma,29.58,-90.7059,Louisiana
318,Columbia,38.9472,-92.3268,Missouri
319,Fullerton,33.8841,-117.9279,California
320,Olathe,38.8833,-94.82,Kansas
321,Thornton,39.9197,-104.9438,Colorado
322,Greeley,40.4152,-104.7706,Colorado
323,Beaumont,30.0849,-94.1451,Texas
324,Las Cruces,32.3265,-106.7893,New Mexico
325,Midland,32.0243,-102.1147,Texas
326,Metairie,29.9977,-90.178,Louisiana
327,West Valley City,40.6886,-112.0123,Utah
328,Orange,33.8038,-117.8218,California
329,Warren,42.4934,-83.027,Michigan
330,Grand Junction,39.0877,-108.5673,Colorado
331,Tyler,32.3184,-95.3062,Texas
332,Pasadena,34.1597,-118.139,California
333,Hampton,37.0551,-76.363,Virginia
334,Bloomington,40.4757,-88.9703,Illinois
335,Elizabeth,40.6658,-74.1913,New Jersey
336,Stamford,41.1039,-73.5585,Connecticut
337,Yuma,32.5995,-114.5491,Arizona
338,Kent,47.3887,-122.2128,Washington
339,Miramar,25.9773,-80.3351,Florida
340,Coeur d'Alene,47.704,-116.7936,Idaho
341,Lakewood,40.0763,-74.2031,New Jersey
342,Coral Springs,26.2702,-80.2591,Florida
343,Sterling Heights,42.5809,-83.0305,Michigan
344,Yuba City,39.1357,-121.6383,California
345,Yakima,46.5923,-120.5496,Washington
346,Carrollton,32.989,-96.8999,Texas
347,Racine,42.7274,-87.8135,Wisconsin
348,Johnson City,36.3406,-82.3806,Tennessee
349,Billings,45.7891,-108.5526,Montana
350,Iowa City,41.6559,-91.5303,Iowa
351,Dover,39.161,-75.5202,Delaware
352,Bellingham,48.7548,-122.469,Washington
353,Charleston,38.3484,-81.6322,West Virginia
354,Amherst,43.0117,-78.757,New York
355,Lynchburg,37.4003,-79.1909,Virginia
356,Santa Clara,37.3646,-121.968,California
357,Norman,35.2335,-97.3471,Oklahoma
358,Greenville,35.5943,-77.376,North Carolina
359,Simi Valley,34.2663,-118.749,California
360,Fort Smith,35.3495,-94.3695,Arkansas
361,Abilene,32.4543,-99.7384,Texas
362,Lewisville,33.0454,-96.9815,Texas
363,Pearland,29.5581,-95.3218,Texas
364,Lehigh Acres,26.612,-81.6388,Florida
365,Kenosha,42.5865,-87.8773,Wisconsin
366,Seaside,36.6224,-121.8199,California
367,Burlington,44.4876,-73.2316,Vermont
368,Arvada,39.832,-105.151,Colorado
369,Waldorf,38.6085,-76.9194,Maryland
370,Independence,39.0871,-94.3501,Missouri
371,Rochester,44.0154,-92.478,Minnesota
372,Logan,41.7399,-111.8422,Utah
373,Harlingen,26.1916,-97.6977,Texas
374,Berkeley,37.8722,-122.276,California
375,Clovis,36.8278,-119.683,California
376,Round Rock,30.527,-97.6642,Texas
377,Pueblo,38.2701,-104.6114,Colorado
378,Temple,31.1068,-97.3891,Texas
379,Meridian,43.6116,-116.3977,Idaho
380,Duluth,46.7756,-92.1393,Minnesota
381,The Woodlands,30.1738,-95.5134,Texas
382,Boulder,40.0248,-105.2524,Colorado
383,Richardson,32.9716,-96.7093,Texas
384,Cambridge,42.3759,-71.1185,Massachusetts
385,West Palm Beach,26.7469,-80.132,Florida
386,Port Arthur,29.8554,-93.9264,Texas
387,East Los Angeles,34.0326,-118.1691,California
388,Redding,40.5698,-122.365,California
389,Clearwater,27.979,-82.7623,Florida
390,Monroe,32.5185,-92.0774,Louisiana
391,Utica,43.0962,-75.2261,New York
392,St. Cloud,45.534,-94.1718,Minnesota
393,Mandeville,30.3751,-90.0904,Louisiana
394,West Jordan,40.6024,-112.0008,Utah
395,Smithtown,40.8663,-73.2164,New York
396,North Charleston,32.9067,-80.0722,South Carolina
397,Richmond,37.9477,-122.3389,California
398,Westminster,39.8837,-105.0624,Colorado
399,Saginaw,43.4199,-83.9501,Michigan
400,Kailua,21.392,-157.7396,Hawaii
401,Brandon,27.9367,-82.3,Florida
402,Carlsbad,33.1246,-117.2834,California
403,Lowell,42.6389,-71.3217,Massachusetts
404,Broken Arrow,36.038,-95.7806,Oklahoma
405,Elgin,42.0383,-88.324,Illinois
406,Gresham,45.5021,-122.4413,Oregon
407,League City,29.4874,-95.1087,Texas
408,Downey,33.9379,-118.1311,California
409,Waterloo,42.4918,-92.3522,Iowa
410,Murrieta,33.5719,-117.1909,California
411,Leominster,42.5209,-71.7717,Massachusetts
412,Longview,32.5193,-94.7622,Texas
413,Jacksonville,34.7289,-77.3941,North Carolina
414,Pompano Beach,26.2428,-80.1312,Florida
415,Bend,44.0563,-121.3095,Oregon
416,Miami Gardens,25.9433,-80.2426,Florida
417,Costa Mesa,33.6667,-117.9135,California
418,Sioux City,42.4959,-96.3901,Iowa
419,Everett,47.9525,-122.1669,Washington
420,Gilroy,37.0046,-121.5854,California
421,San Buenaventura,34.2741,-119.2314,California
422,Temecula,33.4928,-117.1315,California
423,Sugar Land,29.5935,-95.6358,Texas
424,Chico,39.7578,-121.8161,California
425,Eau Claire,44.8197,-91.4948,Wisconsin
426,El Monte,34.0739,-118.0291,California
427,Idaho Falls,43.4871,-112.0362,Idaho
428,Dearborn,42.3127,-83.213,Michigan
429,Bloomington,39.1637,-86.5257,Indiana
430,West Covina,34.0555,-117.9113,California
431,Sparks,39.5736,-119.7161,Nevada
432,South Fulton,33.6273,-84.58,Georgia
433,Centennial,39.5926,-104.8673,Colorado
434,Sandy Springs,33.9366,-84.3703,Georgia
435,Edison,40.536,-74.3697,New Jersey
436,Inglewood,33.9566,-118.3444,California
437,Hillsboro,45.5273,-122.936,Oregon
438,Columbia,39.2004,-76.859,Maryland
439,Burbank,34.1879,-118.3235,California
440,Davie,26.0789,-80.287,Florida
441,El Cajon,32.8017,-116.9604,California
442,Jurupa Valley,34.001,-117.4706,California
443,Allen,33.1088,-96.6735,Texas
444,Auburn,32.6087,-85.4903,Alabama
445,Renton,47.4784,-122.1918,Washington
446,Holland,42.7677,-86.0984,Michigan
447,Brockton,42.0821,-71.0242,Massachusetts
448,Rio Rancho,35.2873,-106.6982,New Mexico
449,San Mateo,37.5522,-122.3121,California
450,Rialto,34.1175,-117.3892,California
451,Spokane Valley,47.6626,-117.2346,Washington
452,Charlottesville,38.0375,-78.4855,Virginia
453,Menifee,33.6909,-117.1849,California
454,Daly City,37.6862,-122.4685,California
455,Woodbridge,40.5611,-74.2943,New Jersey
456,Wichita Falls,33.9072,-98.5291,Texas
457,Riverview,27.8227,-82.3023,Florida
458,Norwalk,33.9069,-118.0829,California
459,Lee's Summit,38.9171,-94.3816,Missouri
460,Longmont,40.1686,-105.1005,Colorado
461,Vacaville,38.3587,-121.9673,California
462,Highlands Ranch,39.5419,-104.9708,Colorado
463,Kingsport,36.5224,-82.5454,Tennessee
464,San Tan Valley,33.1786,-111.5629,Arizona
465,Quincy,42.2506,-71.0187,Massachusetts
466,Edinburg,26.3196,-98.1597,Texas
467,Lynn,42.4781,-70.9664,Massachusetts
468,San Angelo,31.4424,-100.4504,Texas
469,Hesperia,34.3975,-117.3147,California
470,Bowling Green,36.9716,-86.4378,Kentucky
471,Federal Way,47.3091,-122.3358,Washington
472,Carmel,39.965,-86.146,Indiana
473,Bismarck,46.8143,-100.7694,North Dakota
474,Fishers,39.9588,-85.9659,Indiana
475,Lafayette,39.9946,-105.0998,Colorado
476,Vista,33.1896,-117.2386,California
477,Boca Raton,26.3752,-80.108,Florida
478,St. Augustine,29.8976,-81.31,Florida
479,Beaverton,45.4779,-122.8168,Oregon
480,Goodyear,33.2614,-112.3622,Arizona
481,Portsmouth,36.8468,-76.354,Virginia
482,Orem,40.2981,-111.6994,Utah
483,Sunrise,26.1547,-80.2997,Florida
484,Greece,43.246,-77.6988,New York
485,Portsmouth,43.058,-70.7826,New Hampshire
486,Arden-Arcade,38.6017,-121.3845,California
487,Lawrence,38.9597,-95.2642,Kansas
488,Toms River,39.9895,-74.1654,New Jersey
489,Sandy,40.5709,-111.8506,Utah
490,Slidell,30.2887,-89.7828,Louisiana
491,Buckeye,33.4314,-112.6429,Arizona
492,Livonia,42.3972,-83.3733,Michigan
493,Williamsburg,37.2693,-76.7076,Virginia
494,Suffolk,36.6953,-76.6398,Virginia
495,Compton,33.893,-118.2274,California
496,La Crosse,43.8241,-91.2268,Wisconsin
497,Edmond,35.6689,-97.416,Oklahoma
498,Carson,33.8374,-118.2559,California
499,San Marcos,33.135,-117.1743,California
500,Greenburgh,41.033,-73.8412,New York
501,Tracy,37.7269,-121.4523,California
502,Prescott Valley,34.598,-112.3185,Arizona
503,Middletown,39.5033,-84.3659,Ohio
504,Fall River,41.7136,-71.1015,Massachusetts
505,Santa Fe,35.6619,-105.9819,New Mexico
506,Plantation,26.1259,-80.2617,Florida
507,New Braunfels,29.6994,-98.1148,Texas
508,Roswell,34.0391,-84.3513,Georgia
509,Conroe,30.3238,-95.4824,Texas
510,South Gate,33.9447,-118.1926,California
511,Santa Monica,34.0235,-118.481,California
512,Kirkland,47.697,-122.2057,Washington
513,Hoover,33.3763,-86.8068,Alabama
514,O'Fallon,38.785,-90.7175,Missouri
515,Hamilton,40.2046,-74.6765,New Jersey
516,Alafaya,28.528,-81.1868,Florida
